Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sub-Saharan Africa,SSF,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.515625,60.04166667,63.47727273,59.95555556,55.08888889,51.12222222,48.52222222,46.56666667,37.5,35.56521739,31.34680851,29.09148936,28.89166667,28.19583333,24.07083333,23.20625,21.525,,,
Small states,SST,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.625,58.21428571,72,69.30487805,63.63863636,59.49111111,56.46666667,54.56666667,43.94680851,43.13541667,31.86458333,26.89791667,24.21041667,22.88541667,19.53125,19.3125,17.59375,,,
Sao Tome and Principe,STP,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,145,145,145,145,145,147,11,8,8,7,7,7,7,7,7,,,
Suriname,SUR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,689,689,690,690,690,690,690,204,84,84,66,66,66,66,,,
Slovak Republic,SVK,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,62,37,37,37,28.5,28.5,28.5,28.5,28.5,33.5,26.5,26.5,26.5,26.5,26.5,21.5,,,
Slovenia,SVN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,61.5,61.5,61.5,61.5,20.5,6,6,6,6,6,6,6,6,6,8,8,,,
Sweden,SWE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,7,7,7,7.5,7.5,,,
Eswatini,SWZ,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,56,56,56,38,30,30,30,30,30,21.5,,,
Sint Maarten (Dutch part),SXM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,,,
Syrian Arab Republic,SYR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,43.5,43.5,43.5,43.5,16.5,15.5,13.5,13.5,13.5,13.5,13.5,13.5,15.5,15.5,15.5,15.5,,,
Turks and Caicos Islands,TCA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,62,62,62,62,62,62,53,60,60,60,60,60,60,58,58,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.79411765,50.97222222,50.41666667,49.80555556,46.80555556,46.58333333,44.97222222,41.97222222,37.91666667,39.18421053,41.03333333,35.84761905,35.81904762,33.08095238,32.23333333,30.33809524,29.65238095,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.38888889,43.36111111,42.86842105,35.825,31.2,27.55,22.9047619,22,20.30952381,19.42857143,17.44090909,16.61363636,14.58181818,14.39090909,13.75454545,14.27727273,13.27727273,,,
Togo,TGO,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,63,63,62,60,60,84,84,84,38,19,10,10,6,6,5.5,2.5,,,
Thailand,THA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,34,34,32,31,31,31,31,29,6,6,6,,,
Tajikistan,TJK,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,79,66,66,42,16,13,13,22,28,11,21,10,10,7,,,
Turkmenistan,TKM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.05555556,70.68421053,77.21428571,72.92857143,67.55357143,66.66071429,64.85714286,61.48214286,58.03571429,57.46428571,37.63333333,32.26666667,33.11333333,33.96333333,33.69666667,30.2,29.8,,,
Timor-Leste,TLS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,167,167,158,157,157,110,94,94,94,15,14,14,13,13,13,,,
Middle East & North Africa (IDA & IBRD countries),TMN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,39,36.81818182,36.45454545,35.72727273,24.45454545,22.27272727,22.27272727,22.27272727,26.16666667,24.45833333,23.95833333,24.625,24.75,24,23.25,23.33333333,,,
Tonga,TON,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,25,25,25,16,16,16,16,16,16,16,16,16,,,
South Asia (IDA & IBRD),TSA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,31.5,31.5,31.5,28.1,28.1,28.5,27.3,24.1,19.3,18.8625,17.25,16.5,16.1875,16.1,14.0625,14.5625,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.515625,60.04166667,63.47727273,59.95555556,55.08888889,51.12222222,48.52222222,46.56666667,37.5,35.56521739,31.34680851,29.09148936,28.89166667,28.19583333,24.07083333,23.20625,21.525,,,
Trinidad and Tobago,TTO,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,41,41,41,41,40,40,40,35.5,11.5,11.5,10.5,10.5,10.5,10.5,,,
Tunisia,TUN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,,,
Turkiye,TUR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11,11,10,10,7,7,,,
Tuvalu,TUV,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,33,32,31,31,31,31,29,29,29,29,29,29,27.5,29.5,,,
Uganda,UGA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,30,30,27,27,26,26,29,28,28,27,26,24,24,24,,,
Ukraine,UKR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,35,35,34,28,28,28,28,25,23,22,22,8,6.5,6.5,6.5,6.5,,,
Upper middle income,UMC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.21875,49.98571429,63.45348837,58.23863636,53.875,49.35227273,45.64444444,45.26666667,43.33333333,42.76086957,30.75,28.048,27.662,26.868,23.178,20.274,19.764,,,
Uruguay,URY,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,43,43,43,64,64,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,,
United States,USA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,5.6,5.6,5.6,5.6,5.6,4.2,,,
Uzbekistan,UZB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,28,14,14,14,14,13,11,7.5,7.5,5.5,5.5,5,3,3,,,
St. Vincent and the Grenadines,VCT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,,,
"Venezuela, RB",VEN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,143,143,143,142,141,141,141,141,144,144,144,186,230,230,230,230,,,
British Virgin Islands,VGB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,47,41,46,37,37,37,36,36,32,34,34,20,24,22,17,16,,,
Vanuatu,VUT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,47,47,47,47,47,33,33,35,35,35,18,18,18,18,,,
World,WLD,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.51044776,48.46111111,50.7202454,47.84371257,43.31176471,39.94678363,37.72848837,35.9377907,31.87471264,31.35786517,26.77936508,24.3005291,23.40473684,23.00631579,21.49578947,20.50104712,19.59842932,,,
Samoa,WSM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,35,35,35,35,9,9,9,9,9,9,9,9,9,9,9,,,
Kosovo,XKX,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,58,58,51,29,10,10,6,5.5,5.5,4.5,,,
"Yemen, Rep.",YEM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,63.5,63.5,63.5,63.5,13.5,12.5,12.5,12.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,,,
South Africa,ZAF,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56,53,53,53,45,45,45,45,45,45,46,46,45,45,40,40,,,
Zambia,ZMB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,36,34,19,19,19,19,18.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,,,
Zimbabwe,ZWE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,94,94,94,94,94,94,87,87,87,91,91,91,91,61,32,27,,,
